Nº do Processo,Data da Homologação,Modalidade,Nº da Modalidade,Licitantes Vencedores,Valor Total Licitado,Objeto,Unidade Orcamentaria,Query objetos e empresas,Empresas participantes,Valor total por empresa,Empresas frequentes,Num Participações,Empresa com participação Única,UASG
29656 - 2015,5/2/2016,1 - CONVITE,860,ALERIANO ROSA DA SILVA - CPF 051.169.526-81 - ME,700,"aquisição de carimbos e troca de borracha para carimbo, em atendimento à Procuradoria Geral do Município.",Procuradoria Geral do Muninípio,"Qual o valor gasto com aquisição de carimbos e troca de borracha para carimbo, em atendimento à Procuradoria Geral do Município.",,,,,,Prefeitura Municipal de Uberlândia
30298 - 2015,5/2/2016,1 - CONVITE,927,GUILHERME HENRIQUE FRAZAO - ME,2400,"prestação de serviços continuados de manutenção corretiva e preventiva em 04 aparelhos de ar condicionado (split), sem fornecimento de peças, em atendimento à Procuradoria Geral do Município.",Procuradoria Geral do Muninípio,"Qual o valor gasto com prestação de serviços continuados de manutenção corretiva e preventiva em 04 aparelhos de ar condicionado (split), sem fornecimento de peças, em atendimento à Procuradoria Geral do Município.",,,,,,Prefeitura Municipal de Uberlândia
18955 - 2016,24/08/2016,1 - CONVITE,488,GENTE SEGURADORA S/A,707,"contratação de empresa habilitada para o fornecimento de apólices de seguro para os veículos placas HLF9316 e HLF9315, em atendimento à Procuradoria Geral do Município.",Procuradoria Geral do Muninípio,"Qual o valor gasto com contratação de empresa habilitada para o fornecimento de apólices de seguro para os veículos placas HLF9316 e HLF9315, em atendimento à Procuradoria Geral do Município.",,,,,,Prefeitura Municipal de Uberlândia
21569 - 2015,11/2/2016,6 - Pregão eletrônico,526,ALTERNATIVA COMERCIAL LTDA - ME,54040,"futura e eventual aquisição de materiais de limpeza (papel higiênico, papel toalha, álcool em gel, espanador e outros), em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Administração,"Qual o valor gasto com futura e eventual aquisição de materiais de limpeza (papel higiênico, papel toalha, álcool em gel, espanador e outros), em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",,,,,,Prefeitura Municipal de Uberlândia
21569 - 2015,11/2/2016,6 - Pregão eletrônico,526,COMERCIAL GRANADA MATERIAIS DE ESCRITORIO LTDA - EPP,265275,"futura e eventual aquisição de materiais de limpeza (papel higiênico, papel toalha, álcool em gel, espanador e outros), em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Administração,"Qual o valor gasto com futura e eventual aquisição de materiais de limpeza (papel higiênico, papel toalha, álcool em gel, espanador e outros), em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",,,,,,Prefeitura Municipal de Uberlândia
21569 - 2015,11/2/2016,6 - Pregão eletrônico,526,ATHIKA COMERCIO DE MOVEIS EIRELI - EPP,16250,"futura e eventual aquisição de materiais de limpeza (papel higiênico, papel toalha, álcool em gel, espanador e outros), em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Administração,"Qual o valor gasto com futura e eventual aquisição de materiais de limpeza (papel higiênico, papel toalha, álcool em gel, espanador e outros), em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",,,,,,Prefeitura Municipal de Uberlândia
21569 - 2015,11/2/2016,6 - Pregão eletrônico,526,COMIGO COMERCIAL MINAS GOIAS LTDA - EPP,114308,"futura e eventual aquisição de materiais de limpeza (papel higiênico, papel toalha, álcool em gel, espanador e outros), em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Administração,"Qual o valor gasto com futura e eventual aquisição de materiais de limpeza (papel higiênico, papel toalha, álcool em gel, espanador e outros), em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",,,,,,Prefeitura Municipal de Uberlândia
21569 - 2015,11/2/2016,6 - Pregão eletrônico,526,ATITUDE COMERCIAL EIRELI - ME,882600,"futura e eventual aquisição de materiais de limpeza (papel higiênico, papel toalha, álcool em gel, espanador e outros), em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Administração,"Qual o valor gasto com futura e eventual aquisição de materiais de limpeza (papel higiênico, papel toalha, álcool em gel, espanador e outros), em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",,,,,,Prefeitura Municipal de Uberlândia
21569 - 2015,11/2/2016,6 - Pregão eletrônico,526,LIMP FACIL COMERCIO E SERVICOS EIRELI,319800,"futura e eventual aquisição de materiais de limpeza (papel higiênico, papel toalha, álcool em gel, espanador e outros), em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Administração,"Qual o valor gasto com futura e eventual aquisição de materiais de limpeza (papel higiênico, papel toalha, álcool em gel, espanador e outros), em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",,,,,,Prefeitura Municipal de Uberlândia
21569 - 2015,11/2/2016,6 - Pregão eletrônico,526,SJ DISTRIBUIDORA EIRELI - EPP,1095000,"futura e eventual aquisição de materiais de limpeza (papel higiênico, papel toalha, álcool em gel, espanador e outros), em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Administração,"Qual o valor gasto com futura e eventual aquisição de materiais de limpeza (papel higiênico, papel toalha, álcool em gel, espanador e outros), em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",,,,,,Prefeitura Municipal de Uberlândia
23612 - 2015,14/07/2016,3 - CONCORRÊNCIA,589,INSTITUTO BEZERRA NELSON LTDA ME,1312265,"prestação de serviços técnicos especializados de planejamento, organização, preparação e realização de concurso público a ser promovido pelo Município de Uberlândia ¿ Administração Direta, em atendimento à S. M. de Administração.",Secretaria Municipal de Administração,"Qual o valor gasto com prestação de serviços técnicos especializados de planejamento, organização, preparação e realização de concurso público a ser promovido pelo Município de Uberlândia ¿ Administração Direta, em atendimento à S. M. de Administração.",,,,,,Prefeitura Municipal de Uberlândia
25343 - 2015,17/05/2016,5 - PREGÃO PRESENCIAL,677,LATICINIO TAQUARI LTDA,2030000,"futura ou eventual aquisição de leite e manteiga, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Administração,"Qual o valor gasto com futura ou eventual aquisição de leite e manteiga, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",,,,,,Prefeitura Municipal de Uberlândia
25343 - 2015,17/05/2016,5 - PREGÃO PRESENCIAL,677,MINAS MAIS PRODUTOS ALIMENTICIOS E SERVICOS LTDA - EPP,1897500,"futura ou eventual aquisição de leite e manteiga, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Administração,"Qual o valor gasto com futura ou eventual aquisição de leite e manteiga, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",,,,,,Prefeitura Municipal de Uberlândia
25804 - 2015,11/2/2016,1 - CONVITE,695,"AR CONDICIONADO TURBO AR, COMERCIO E SERVICOS LTDA",3300,"prestação mensal de serviços de manutenção preventiva e corretiva, com reposição de gás, em 02 equipamentos de ar condicionado (instalados na Diretoria de Compras), em atendimento à Secretaria Municipal de Administração.",Secretaria Municipal de Administração,"Qual o valor gasto com prestação mensal de serviços de manutenção preventiva e corretiva, com reposição de gás, em 02 equipamentos de ar condicionado (instalados na Diretoria de Compras), em atendimento à Secretaria Municipal de Administração.",,,,,,Prefeitura Municipal de Uberlândia
26330 - 2015,4/2/2016,1 - CONVITE,709,INFOPRINT COMERCIO E SERVICOS LTDA,14000,"confecção de crachás de identificação funcional com foto código de barras em ""polaseal(super card)"" para atender a Diretoria de Desenvolvimento Humano, através da Secretaria Municipal de Administração.",Secretaria Municipal de Administração,"Qual o valor gasto com confecção de crachás de identificação funcional com foto código de barras em ""polaseal(super card)"" para atender a Diretoria de Desenvolvimento Humano, através da Secretaria Municipal de Administração.",,,,,,Prefeitura Municipal de Uberlândia
26558 - 2015,4/2/2016,1 - CONVITE,712,PORTO SEGURO COMPANHIA DE SEGUROS GERAIS,4680,"fornecimento de apólice de seguro de acidentes pessoais (morte acidental e invalidez permanente total ou parcial por acidente), para um grupo estimado e aproximado de 500 estagiários/mês, em atendimento à Secretaria Municipal de Administração.",Secretaria Municipal de Administração,"Qual o valor gasto com fornecimento de apólice de seguro de acidentes pessoais (morte acidental e invalidez permanente total ou parcial por acidente), para um grupo estimado e aproximado de 500 estagiários/mês, em atendimento à Secretaria Municipal de Administração.",,,,,,Prefeitura Municipal de Uberlândia
28368 - 2015,13/04/2016,6 - Pregão eletrônico,812,PLACASIL MG INDUSTRIA E COMERCIO LTDA - EPP,78400,aquisição de placas de automotivas em atendimento a Secretaria Municipal de Administração.,Secretaria Municipal de Administração,Qual o valor gasto com aquisição de placas de automotivas em atendimento a Secretaria Municipal de Administração.,,,,,,Prefeitura Municipal de Uberlândia
28515 - 2015,6/5/2016,5 - PREGÃO PRESENCIAL,822,EPS EMPREENDIMENTOS S/A,350,"futura e eventual prestação de serviços de hospedagem padrão 03 e 04 estrelas, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Administração,"Qual o valor gasto com futura e eventual prestação de serviços de hospedagem padrão 03 e 04 estrelas, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",,,,,,Prefeitura Municipal de Uberlândia
29964 - 2015,14/07/2016,5 - PREGÃO PRESENCIAL,910,CAPITAL SEGURANCA CONTRA INCENDIO UBERLANDIA LTDA - ME,15261.04,"futura e eventual fornecimento de recargas, testes hidrostáticos, pesagens e substituição de peças em extintores de incêndio, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Administração,"Qual o valor gasto com futura e eventual fornecimento de recargas, testes hidrostáticos, pesagens e substituição de peças em extintores de incêndio, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",,,,,,Prefeitura Municipal de Uberlândia
30299 - 2015,2/3/2016,1 - CONVITE,928,SISTEMAS DE ALARME MAXIMA SEGURANCA LTDA - EPP,774.06,"prestação de serviços para monitoramento de alarme 24 horas, onde funciona a Diretoria de Compras, em atendimento à Secretaria Municipal de Administração.",Secretaria Municipal de Administração,"Qual o valor gasto com prestação de serviços para monitoramento de alarme 24 horas, onde funciona a Diretoria de Compras, em atendimento à Secretaria Municipal de Administração.",,,,,,Prefeitura Municipal de Uberlândia
10680 - 2016,5/9/2016,6 - Pregão eletrônico,251,LM COMERCIO LTDA - ME,48611.5,"aquisição de gêneros alimentícios (café, açúcar e chá), para serem utilizados pela S. M. de Administração e demais órgãos da Administração Direta da Prefeitura Municipal e abastecimento da Diretoria de Armazenagem e Distribuição e pela S. M. de Saúde",Secretaria Municipal de Administração,"Qual o valor gasto com aquisição de gêneros alimentícios (café, açúcar e chá), para serem utilizados pela S. M. de Administração e demais órgãos da Administração Direta da Prefeitura Municipal e abastecimento da Diretoria de Armazenagem e Distribuição e pela S. M. de Saúde",,,,,,Prefeitura Municipal de Uberlândia
10680 - 2016,5/9/2016,6 - Pregão eletrônico,251,ITALIA CAFES ESPECIAIS - EIRELI,56156.2,"aquisição de gêneros alimentícios (café, açúcar e chá), para serem utilizados pela S. M. de Administração e demais órgãos da Administração Direta da Prefeitura Municipal e abastecimento da Diretoria de Armazenagem e Distribuição e pela S. M. de Saúde",Secretaria Municipal de Administração,"Qual o valor gasto com aquisição de gêneros alimentícios (café, açúcar e chá), para serem utilizados pela S. M. de Administração e demais órgãos da Administração Direta da Prefeitura Municipal e abastecimento da Diretoria de Armazenagem e Distribuição e pela S. M. de Saúde",,,,,,Prefeitura Municipal de Uberlândia
10680 - 2016,5/9/2016,6 - Pregão eletrônico,251,MICRON GENEROS ALIMENTICIOS EIRELI EPP,19032,"aquisição de gêneros alimentícios (café, açúcar e chá), para serem utilizados pela S. M. de Administração e demais órgãos da Administração Direta da Prefeitura Municipal e abastecimento da Diretoria de Armazenagem e Distribuição e pela S. M. de Saúde",Secretaria Municipal de Administração,"Qual o valor gasto com aquisição de gêneros alimentícios (café, açúcar e chá), para serem utilizados pela S. M. de Administração e demais órgãos da Administração Direta da Prefeitura Municipal e abastecimento da Diretoria de Armazenagem e Distribuição e pela S. M. de Saúde",,,,,,Prefeitura Municipal de Uberlândia
11276 - 2016,27/12/2016,6 - Pregão eletrônico,260,COMERCIAL BARACUI & SANTOS LTDA - EPP,7533.15,"aquisição de materiais para pintura entre outros, em atendimento a Secretaria Municpal de Administração.",Secretaria Municipal de Administração,"Qual o valor gasto com aquisição de materiais para pintura entre outros, em atendimento a Secretaria Municpal de Administração.",,,,,,Prefeitura Municipal de Uberlândia
1268 - 2016,1/6/2016,6 - Pregão eletrônico,8,JENIFER JESSICA AZEVEDO ME,7810,"aquisição de equipamentos (impressora matricial), em atendimento à Secretaria Municipal de Administração.",Secretaria Municipal de Administração,"Qual o valor gasto com aquisição de equipamentos (impressora matricial), em atendimento à Secretaria Municipal de Administração.",,,,,,Prefeitura Municipal de Uberlândia
14503 - 2016,5/9/2016,5 - PREGÃO PRESENCIAL,349,ELETROFRI MANUTENCOES LTDA,7666.66,prestação de serviços técnicos de manutenção corretiva e preventiva no sistema de ar condicionado central (chiller) e equipamentos condicionadores de ar em atendimento à S. M. de Administração e o Gabinete do Prefeito.,Secretaria Municipal de Administração,Qual o valor gasto com prestação de serviços técnicos de manutenção corretiva e preventiva no sistema de ar condicionado central (chiller) e equipamentos condicionadores de ar em atendimento à S. M. de Administração e o Gabinete do Prefeito.,,,,,,Prefeitura Municipal de Uberlândia
15654 - 2016,3/8/2016,1 - CONVITE,386,ELETROTEL TECNOLOGIA LTDA - EPP,216,"aquisição de fone headset monoauricular, em atendimento às Secretarias Municipais de Administração e de Comunicação Social.",Secretaria Municipal de Administração,"Qual o valor gasto com aquisição de fone headset monoauricular, em atendimento às Secretarias Municipais de Administração e de Comunicação Social.",,,,,,Prefeitura Municipal de Uberlândia
15760 - 2016,14/12/2016,6 - Pregão eletrônico,395,SILVEIRA GUIMARAES MATERIAIS PARA CONSTRUCAO EIRELI - EPP,2836.74,"contratação de empresa para prestação de serviços gráficos, em atendimento a Secretaria Municipal de serviços Urbanos, Administração, Cultura e Trânsito e Transportes.",Secretaria Municipal de Administração,"Qual o valor gasto com contratação de empresa para prestação de serviços gráficos, em atendimento a Secretaria Municipal de serviços Urbanos, Administração, Cultura e Trânsito e Transportes.",,,,,,Prefeitura Municipal de Uberlândia
15760 - 2016,14/12/2016,6 - Pregão eletrônico,395,BARACUI COMERCIAL LTDA - ME,2577.4,"contratação de empresa para prestação de serviços gráficos, em atendimento a Secretaria Municipal de serviços Urbanos, Administração, Cultura e Trânsito e Transportes.",Secretaria Municipal de Administração,"Qual o valor gasto com contratação de empresa para prestação de serviços gráficos, em atendimento a Secretaria Municipal de serviços Urbanos, Administração, Cultura e Trânsito e Transportes.",,,,,,Prefeitura Municipal de Uberlândia
21323 - 2016,23/09/2016,5 - PREGÃO PRESENCIAL,558,ASSOCIACAO DOS TRANSPORTADORES DE PASSAGEIROS E CARGAS DO TR,83420,"prestação de serviço automotivo (diárias), veículo tipo van, incluindo combustível e motorista, para atender solicitação do juíz eleitoral de Uberlândia - MG, face à realização das eleições/2016, através da Secretaria Municipal de Administração.",Secretaria Municipal de Administração,"Qual o valor gasto com prestação de serviço automotivo (diárias), veículo tipo van, incluindo combustível e motorista, para atender solicitação do juíz eleitoral de Uberlândia - MG, face à realização das eleições/2016, através da Secretaria Municipal de Administração.",,,,,,Prefeitura Municipal de Uberlândia
26267 - 2016,9/12/2016,1 - CONVITE,661,PORTO SEGURO COMPANHIA DE SEGUROS GERAIS,12183.01,"aquisição de apólice de seguro para os imóveis: Centro Administrativo (prédios I e II), Câmara Municipal e DAD, em atendimento a Secretaria Muncipal de Administração.",Secretaria Municipal de Administração,"Qual o valor gasto com aquisição de apólice de seguro para os imóveis: Centro Administrativo (prédios I e II), Câmara Municipal e DAD, em atendimento a Secretaria Muncipal de Administração.",,,,,,Prefeitura Municipal de Uberlândia
26267 - 2016,9/12/2016,1 - CONVITE,661,MAPFRE SEGUROS GERAIS S A,9460,"aquisição de apólice de seguro para os imóveis: Centro Administrativo (prédios I e II), Câmara Municipal e DAD, em atendimento a Secretaria Muncipal de Administração.",Secretaria Municipal de Administração,"Qual o valor gasto com aquisição de apólice de seguro para os imóveis: Centro Administrativo (prédios I e II), Câmara Municipal e DAD, em atendimento a Secretaria Muncipal de Administração.",,,,,,Prefeitura Municipal de Uberlândia
29106 - 2014,19/03/2015,5 - PREGÃO PRESENCIAL,963,CAPITAL SEGURANCA CONTRA INCENDIO UBERLANDIA LTDA - ME,1727.55,"fornecimento de recargas, testes hidrostáticos, pesagens e substituião de peças em estintores de incêndio, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Agropecuária e Abastecimento,"Qual o valor gasto com fornecimento de recargas, testes hidrostáticos, pesagens e substituião de peças em estintores de incêndio, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",,,,,,Prefeitura Municipal de Uberlândia
29774 - 2014,24/11/2015,5 - PREGÃO PRESENCIAL,984,SOUSA & COSTA LTDA - ME,410.6,"futura ou eventual aquisição de materiais de limpeza, higiene e diversos, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Agropecuária e Abastecimento,"Qual o valor gasto com futura ou eventual aquisição de materiais de limpeza, higiene e diversos, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",,,,,,Prefeitura Municipal de Uberlândia
29774 - 2014,24/11/2015,5 - PREGÃO PRESENCIAL,984,COMERCIAL BARACUI & SANTOS LTDA - EPP,488.9,"futura ou eventual aquisição de materiais de limpeza, higiene e diversos, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Agropecuária e Abastecimento,"Qual o valor gasto com futura ou eventual aquisição de materiais de limpeza, higiene e diversos, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",,,,,,Prefeitura Municipal de Uberlândia
29774 - 2014,24/11/2015,5 - PREGÃO PRESENCIAL,984,NASCUCAR INDUSTRIA E COMERCIO LTDA - EPP,841.5,"futura ou eventual aquisição de materiais de limpeza, higiene e diversos, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Agropecuária e Abastecimento,"Qual o valor gasto com futura ou eventual aquisição de materiais de limpeza, higiene e diversos, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",,,,,,Prefeitura Municipal de Uberlândia
29774 - 2014,24/11/2015,5 - PREGÃO PRESENCIAL,984,COMERCIAL MACKEY LTDA - ME,669.3,"futura ou eventual aquisição de materiais de limpeza, higiene e diversos, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Agropecuária e Abastecimento,"Qual o valor gasto com futura ou eventual aquisição de materiais de limpeza, higiene e diversos, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",,,,,,Prefeitura Municipal de Uberlândia
29774 - 2014,24/11/2015,5 - PREGÃO PRESENCIAL,984,LM COMERCIO LTDA - ME,3949.1,"futura ou eventual aquisição de materiais de limpeza, higiene e diversos, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Agropecuária e Abastecimento,"Qual o valor gasto com futura ou eventual aquisição de materiais de limpeza, higiene e diversos, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",,,,,,Prefeitura Municipal de Uberlândia
29774 - 2014,24/11/2015,5 - PREGÃO PRESENCIAL,984,COMERCIAL GRANADA MATERIAIS DE ESCRITORIO LTDA - EPP,558.6,"futura ou eventual aquisição de materiais de limpeza, higiene e diversos, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Agropecuária e Abastecimento,"Qual o valor gasto com futura ou eventual aquisição de materiais de limpeza, higiene e diversos, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",,,,,,Prefeitura Municipal de Uberlândia
29774 - 2014,24/11/2015,5 - PREGÃO PRESENCIAL,984,KI LIMPO DO BRASIL LTDA - EPP,195,"futura ou eventual aquisição de materiais de limpeza, higiene e diversos, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Agropecuária e Abastecimento,"Qual o valor gasto com futura ou eventual aquisição de materiais de limpeza, higiene e diversos, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",,,,,,Prefeitura Municipal de Uberlândia
29774 - 2014,24/11/2015,5 - PREGÃO PRESENCIAL,984,COMIGO COMERCIAL MINAS GOIAS LTDA - EPP,1905.1,"futura ou eventual aquisição de materiais de limpeza, higiene e diversos, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Agropecuária e Abastecimento,"Qual o valor gasto com futura ou eventual aquisição de materiais de limpeza, higiene e diversos, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",,,,,,Prefeitura Municipal de Uberlândia
29774 - 2014,24/11/2015,5 - PREGÃO PRESENCIAL,984,COMERCIAL ELETRO - EIRELI - EPP,1230,"futura ou eventual aquisição de materiais de limpeza, higiene e diversos, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Agropecuária e Abastecimento,"Qual o valor gasto com futura ou eventual aquisição de materiais de limpeza, higiene e diversos, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",,,,,,Prefeitura Municipal de Uberlândia
29774 - 2014,24/11/2015,5 - PREGÃO PRESENCIAL,984,ME COMERCIAL EIRELI,635.7,"futura ou eventual aquisição de materiais de limpeza, higiene e diversos, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Agropecuária e Abastecimento,"Qual o valor gasto com futura ou eventual aquisição de materiais de limpeza, higiene e diversos, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",,,,,,Prefeitura Municipal de Uberlândia
21487 - 2015,1/12/2015,6 - Pregão eletrônico,523,ALTERNATIVA COMERCIAL LTDA - ME,11326.75,"futura ou eventual aquisição de materiais (sacos para lixo), em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Agropecuária e Abastecimento,"Qual o valor gasto com futura ou eventual aquisição de materiais (sacos para lixo), em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",,,,,,Prefeitura Municipal de Uberlândia
25255 - 2015,3/2/2016,5 - PREGÃO PRESENCIAL,674,SELECTA SERVICOS GLOBALIZADO LTDA - EPP,387012.26,"futura ou eventual prestação de serviços de mão de obra de operadores de máquinas/tratoristas, em atendimento à Secretaria Municipal de Agropecuária e Abastecimento.",Secretaria Municipal de Agropecuária e Abastecimento,"Qual o valor gasto com futura ou eventual prestação de serviços de mão de obra de operadores de máquinas/tratoristas, em atendimento à Secretaria Municipal de Agropecuária e Abastecimento.",,,,,,Prefeitura Municipal de Uberlândia
25343 - 2015,17/05/2016,5 - PREGÃO PRESENCIAL,677,LATICINIO TAQUARI LTDA,2600,"futura ou eventual aquisição de leite e manteiga, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Agropecuária e Abastecimento,"Qual o valor gasto com futura ou eventual aquisição de leite e manteiga, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",,,,,,Prefeitura Municipal de Uberlândia
29008 - 2015,25/02/2016,6 - Pregão eletrônico,838,ORTOVEL VEICULOS E PECAS LTDA,123450,"aquisição de um caminhão 0 km, em atendimento à Secretaria Muncipal de Agropecuária e Abastecimento.",Secretaria Municipal de Agropecuária e Abastecimento,"Qual o valor gasto com aquisição de um caminhão 0 km, em atendimento à Secretaria Muncipal de Agropecuária e Abastecimento.",,,,,,Prefeitura Municipal de Uberlândia
29014 - 2015,18/02/2016,5 - PREGÃO PRESENCIAL,842,CARROCERIAS MAMBRINI TONDINELLI LTDA,11650,"aquisição de 01 carroceria de madeira, em atendimento à Secretaria Municipal de Agropecuária e Abastecimento.",Secretaria Municipal de Agropecuária e Abastecimento,"Qual o valor gasto com aquisição de 01 carroceria de madeira, em atendimento à Secretaria Municipal de Agropecuária e Abastecimento.",,,,,,Prefeitura Municipal de Uberlândia
30410 - 2015,8/3/2016,6 - Pregão eletrônico,943,ATITUDE COMERCIAL EIRELI - ME,18438,"aquisição de produtos (ração para alevinos e outros), em atendimento à Secretaria Muinicipal de Agropecuária e Abastecimento.",Secretaria Municipal de Agropecuária e Abastecimento,"Qual o valor gasto com aquisição de produtos (ração para alevinos e outros), em atendimento à Secretaria Muinicipal de Agropecuária e Abastecimento.",,,,,,Prefeitura Municipal de Uberlândia
30410 - 2015,8/3/2016,6 - Pregão eletrônico,943,LICITAR COMERCIO E NEGOCIOS GOVERNAMENTAIS LTDA - ME,5188.8,"aquisição de produtos (ração para alevinos e outros), em atendimento à Secretaria Muinicipal de Agropecuária e Abastecimento.",Secretaria Municipal de Agropecuária e Abastecimento,"Qual o valor gasto com aquisição de produtos (ração para alevinos e outros), em atendimento à Secretaria Muinicipal de Agropecuária e Abastecimento.",,,,,,Prefeitura Municipal de Uberlândia
30410 - 2015,8/3/2016,6 - Pregão eletrônico,943,M P O VENTURA EPP,21310,"aquisição de produtos (ração para alevinos e outros), em atendimento à Secretaria Muinicipal de Agropecuária e Abastecimento.",Secretaria Municipal de Agropecuária e Abastecimento,"Qual o valor gasto com aquisição de produtos (ração para alevinos e outros), em atendimento à Secretaria Muinicipal de Agropecuária e Abastecimento.",,,,,,Prefeitura Municipal de Uberlândia
30972 - 2015,9/5/2016,5 - PREGÃO PRESENCIAL,971,VASCONCELOS INDUSTRIA COMERCIO IMPORTACAO E EXPORTACAO LTDA,1673620,"aquisição de gêneros alimentícios (arroz, açúcar, óleo, café, sal e outros), em atendimento à Secretaria Municipal de Agropecuária e Abastecimento.",Secretaria Municipal de Agropecuária e Abastecimento,"Qual o valor gasto com aquisição de gêneros alimentícios (arroz, açúcar, óleo, café, sal e outros), em atendimento à Secretaria Municipal de Agropecuária e Abastecimento.",,,,,,Prefeitura Municipal de Uberlândia
11386 - 2016,5/10/2016,6 - Pregão eletrônico,263,PARREIRA AGRICOLA LTDA - EPP,5520,"aquisição de peças para máquinas agrícolas, em atendimento à Secretaria Municipal de Agropecuária e Abastecimento.",Secretaria Municipal de Agropecuária e Abastecimento,"Qual o valor gasto com aquisição de peças para máquinas agrícolas, em atendimento à Secretaria Municipal de Agropecuária e Abastecimento.",,,,,,Prefeitura Municipal de Uberlândia
